stable_id,platform,title,publisher,canonical_url,published_date,duration_seconds,content_type,status,relevance_status,rights_status,content_sha256,path
V0eP5yza5gI,youtube,Neil Turner on Organisational Learning,Cranfield School of Management,https://www.youtube.com/watch?v=V0eP5yza5gI,2010-01-20,242,transcript,accepted,relevant,third-party,2c59c0e2f74835d5d911e527f735e8fb3e88548d9cbff827813bf2bb51799968,sources/youtube/accepted/2010-01-20--neil-turner-on-organisational-learning--cranfield-school-of-management--V0eP5yza5gI.md
1Mk14yQZ1pE,youtube,"Brett Lee Interview: The Viable Systems Model & ""Tell us about the London School of Economics?""",BrettLeeVideos VoteDavis,https://www.youtube.com/watch?v=1Mk14yQZ1pE,2012-05-02,143,transcript,accepted,relevant,third-party,821e03f2094e6e1c1545bb7fd1b32a0e6bc2b01ceb53a2fe43197ab54057aa36,sources/youtube/accepted/2012-05-02--brett-lee-interview-the-viable-systems-model-tell-us-about-the-london-school-of-economics--brettleevideos-votedavis--1Mk14yQZ1pE.md
izkXtw1tDeg,youtube,What is a learning organization?,Knowledge Institute for CYMHA,https://www.youtube.com/watch?v=izkXtw1tDeg,2014-03-05,297,transcript,accepted,relevant,third-party,50983463015bf79cb5953f26049cc40340de753d723fb409d0fcd0128258a963,sources/youtube/accepted/2014-03-05--what-is-a-learning-organization--knowledge-institute-for-cymha--izkXtw1tDeg.md
eXdzKBWDraM,youtube,Peter Senge Introduction to Systems Thinking,Kris Wile,https://www.youtube.com/watch?v=eXdzKBWDraM,2014-08-05,141,transcript,accepted,relevant,third-party,fb1b5c8f88fa458b3b4ce3ba6f29662d2a9dee3328207c767d00cfa1d9bfd35e,sources/youtube/accepted/2014-08-05--peter-senge-introduction-to-systems-thinking--kris-wile--eXdzKBWDraM.md
OpiqnCAQ6S8,youtube,Peter Senge Introduction to Organzational Learning,Kris Wile,https://www.youtube.com/watch?v=OpiqnCAQ6S8,2014-08-06,193,transcript,accepted,relevant,third-party,a84ba5bde3dd2c53054d6eef78d44c6e768e9c9341b5c024ddf83252add884d9,sources/youtube/accepted/2014-08-06--peter-senge-introduction-to-organzational-learning--kris-wile--OpiqnCAQ6S8.md
inVZoI1AkC8,youtube,Feedback loops: How nature gets its rhythms - Anje-Margriet Neutel,TED-Ed,https://www.youtube.com/watch?v=inVZoI1AkC8,2014-08-25,310,transcript,accepted,relevant,third-party,89f7af36afeab4330ee92e4450105c46ba0d924d3b59288d19d2367e7232ef80,sources/youtube/accepted/2014-08-25--feedback-loops-how-nature-gets-its-rhythms-anje-margriet-neutel--ted-ed--inVZoI1AkC8.md
GPW0j2Bo_eY,youtube,Systems Thinking!,james swanson,https://www.youtube.com/watch?v=GPW0j2Bo_eY,2014-10-30,311,transcript,accepted,relevant,third-party,150dfa75b464c29247d0c9fbe5a16d06ac01a72a2031713a78d0c9f47299d095,sources/youtube/accepted/2014-10-30--systems-thinking--james-swanson--GPW0j2Bo_eY.md
MQMRMAmT2gg,youtube,The Fifth Discipline in Three Minutes,Miles MacFarlane,https://www.youtube.com/watch?v=MQMRMAmT2gg,2016-10-27,169,transcript,accepted,relevant,third-party,3e689c5164db9f30dea10be4172f6627b8a7334045756c85cad04d3207e8d5b5,sources/youtube/accepted/2016-10-27--the-fifth-discipline-in-three-minutes--miles-macfarlane--MQMRMAmT2gg.md
40meQNZl3KU,youtube,The Learning Organization,Sprouts,https://www.youtube.com/watch?v=40meQNZl3KU,2017-03-23,242,transcript,accepted,relevant,third-party,4ffe68626d14d26eaf4de76186e55d10ff461ac4a5ecdd14236e1527e38c39a7,sources/youtube/accepted/2017-03-23--the-learning-organization--sprouts--40meQNZl3KU.md
Xsrcf1jMFWk,youtube,Kaizen - small continuous improvement,Winslow Passey,https://www.youtube.com/watch?v=Xsrcf1jMFWk,2017-10-28,209,transcript,accepted,relevant,third-party,a3a63895e071557ab38e70797560a53c03ccac402e9163e51fd68b7e931f0b74,sources/youtube/accepted/2017-10-28--kaizen-small-continuous-improvement--winslow-passey--Xsrcf1jMFWk.md
