legacy_path,legacy_sha256,openalex_id,doi,canonical_url,title,source_type,disposition,lifecycle,artifact_level,relevance_status,duplicate_of,output_path,reason
sources/arxiv/2012--gains-and-losses-from-international-trade-in-a-knowledge-driven-semi-endogenous-growth-model-with-he--katsufumi-fukuda--w1658993051.md,1448b12b2f19333e52576ad07fdcb6f256a6dc6be981136e108aa33927570bfe,W1658993051,,https://openalex.org/W1658993051,Gains and Losses from International Trade in a Knowledge-driven Semi-endogenous Growth Model with Heterogeneous Firms,repository-preprint,duplicate,rejected,abstract,irrelevant,openalex:W2107592024,sources/academic/repository-preprint/rejected/2012-08-21--gains-and-losses-from-international-trade-in-a-knowledge-driven-semi-endogenous-growth-model-with-he--w1658993051.md,Duplicate of OpenAlex W2107592024.
sources/arxiv/2011--an-absorptive-capacity-theory-of-knowledge-spillover-entrepreneurship--haifeng-qian--w1999462942.md,c05566891651aca7bb280a1c3fbe80789143610223690e11593c28f94e50eafb,W1999462942,10.1007/s11187-011-9368-x,https://doi.org/10.1007/s11187-011-9368-x,An absorptive capacity theory of knowledge spillover entrepreneurship,journal-article,duplicate,rejected,metadata_only,relevant,openalex:W2602055812,sources/academic/journal-article/rejected/2011-09-21--an-absorptive-capacity-theory-of-knowledge-spillover-entrepreneurship--w1999462942.md,Duplicate of OpenAlex W2602055812.
sources/arxiv/2013--impact-evaluation-of-customer-knowledge-process-on-customer-knowledge-expansion--samer-alhawari--w2025030878.md,08d8bb8a04c0f59eee2c698c4fd4460213a316f8933aec8e4f0db8f18a5824e5,W2025030878,10.4018/jksr.2013010103,https://doi.org/10.4018/jksr.2013010103,Impact Evaluation of Customer Knowledge Process on Customer Knowledge Expansion,journal-article,duplicate,rejected,abstract,relevant,openalex:W4243692361,sources/academic/journal-article/rejected/2013-01-01--impact-evaluation-of-customer-knowledge-process-on-customer-knowledge-expansion--w2025030878.md,Duplicate of OpenAlex W4243692361.
sources/arxiv/2013--impact-evaluation-of-customer-knowledge-process-on-customer-knowledge-acquisition--samer-alhawari--w2026140270.md,17fee20a98ccdb47d0389afd665790dd3385d2a23509eef7fd96a1a21d7a603b,W2026140270,10.4018/ijcrmm.2013100104,https://doi.org/10.4018/ijcrmm.2013100104,Impact Evaluation of Customer Knowledge Process On Customer Knowledge Acquisition,journal-article,duplicate,rejected,abstract,irrelevant,openalex:W4230885242,sources/academic/journal-article/rejected/2013-10-01--impact-evaluation-of-customer-knowledge-process-on-customer-knowledge-acquisition--w2026140270.md,Duplicate of OpenAlex W4230885242.
sources/arxiv/2013--customer-satisfaction-model-in-nano-food-products-using-by-customer-knowledge-management-ckm-approac--ali-farhadyar--w2092972183.md,e4f390fa1a4fcaee892376e9072d2b1b9088dba8aa0e186f46c8d0c392f22011,W2092972183,10.4028/www.scientific.net/ddf.334-335.26,https://doi.org/10.4028/www.scientific.net/ddf.334-335.26,Customer Satisfaction Model in Nano Food Products Using by Customer Knowledge Management (CKM) Approach,journal-article,irrelevant,rejected,abstract,irrelevant,,sources/academic/journal-article/rejected/2013-02-13--customer-satisfaction-model-in-nano-food-products-using-by-customer-knowledge-management-ckm-approac--w2092972183.md,Title describes a non-organizational topic or an incidental keyword collision.
sources/arxiv/2012--gains-and-losses-from-international-trade-in-a-knowledge-driven-semi-endogenous-growth-model-with-he--katsufumi-fukuda--w2107592024.md,d982bb5b72c4ca4ec95fabbd8896ee0d9e8fb7b6dc0c16d0db8bf94e9e397375,W2107592024,10.1142/s2251361212500139,https://doi.org/10.1142/s2251361212500139,GAINS AND LOSSES FROM INTERNATIONAL TRADE IN A KNOWLEDGE-DRIVEN SEMI-ENDOGENOUS GROWTH MODEL WITH HETEROGENEOUS FIRMS,journal-article,irrelevant,rejected,abstract,irrelevant,,sources/academic/journal-article/rejected/2012-09-01--gains-and-losses-from-international-trade-in-a-knowledge-driven-semi-endogenous-growth-model-with-he--w2107592024.md,Title describes a non-organizational topic or an incidental keyword collision.
sources/arxiv/2012--the-impact-of-customer-knowledge-capability-and-relational-capability-on-new-service-development-per--rhay-hung-weng--w2114883614.md,1fa5280d56c9d78b846195d2500c19a12dbf81649cb4ac5852f8478e4bd50a48,W2114883614,10.1017/s1833367200000560,https://doi.org/10.1017/s1833367200000560,The impact of customer knowledge capability and relational capability on new service development performance: The case of health service,journal-article,irrelevant,rejected,abstract,irrelevant,,sources/academic/journal-article/rejected/2012-09-01--the-impact-of-customer-knowledge-capability-and-relational-capability-on-new-service-development-per--w2114883614.md,Available title/abstract does not directly connect organizational entities to a learning or improvement mechanism.
sources/arxiv/2017--comparing-agility-and-absorptive-capacity-for-superior-firm-performance-in-dynamic-environment--sangeeta-shah-bharadwaj--w2625196300.md,58e42f78e442aedfdf782edba5679a0a3e1d3221a493cdfa46b0debd97b92293,W2625196300,10.1504/ijbe.2017.10005662,https://doi.org/10.1504/ijbe.2017.10005662,Comparing agility and absorptive capacity for superior firm performance in dynamic environment,journal-article,duplicate,rejected,abstract,relevant,openalex:W4244396275,sources/academic/journal-article/rejected/2017-01-01--comparing-agility-and-absorptive-capacity-for-superior-firm-performance-in-dynamic-environment--w2625196300.md,Duplicate of OpenAlex W4244396275.
sources/arxiv/2018--entrepreneurial-network-towards-small-firm-performance-through-dynamic-capabilities-the-conceptual-p--saqlain-raza--w2917276100.md,646a0df684319f6f33d06ce847234276463ea1a4486fb6d145fa6e4ad72ea95a,W2917276100,,https://openalex.org/W2917276100,Entrepreneurial Network Towards Small Firm Performance Through Dynamic Capabilities: The Conceptual Perspective,repository-preprint,duplicate,rejected,abstract,relevant,openalex:W3169278803,sources/academic/repository-preprint/rejected/2018-12-01--entrepreneurial-network-towards-small-firm-performance-through-dynamic-capabilities-the-conceptual-p--w2917276100.md,Duplicate of OpenAlex W3169278803.
sources/arxiv/2018--source--source--w2941449377.md,011c4814cbde3d99abc5142b8cc8e69e9c36508a44dba907f849adc963a71f2b,W2941449377,,https://scholar.dkyobobook.co.kr/searchDetail.laf?barcode=4010026960866,"기업가정신, 흡수능력, 기술능력 및 혁신성과에 관한 연구",journal-article,duplicate,rejected,abstract,relevant,openalex:W3112514933,sources/academic/journal-article/rejected/2018-12-01--untitled--w2941449377.md,Duplicate of OpenAlex W3112514933.
